television_cable,wifi,seche_cheveux,monoxyde_carbone_detect,salle_sport,fer_repasser,parking_sur-place,extincteur,Climatisation,Jacuzzi,machine_laver,Capacite_accueil,NbChambres,frais_menage,Caution,frais_menage,seche_linge,cheminee_interieur,pourEnfants_famille,Piscine,NbLits,television,PrixNuitee,Latitude,Longitude
1,1,0,0,0,0,0,0,0,0,1,3,1,0,200,0,1,0,0,0,1,1,73.20059073807093,44.8339689926,-0.5828704265
0,0,0,0,0,1,0,0,0,0,0,3,1,10,500,10,0,0,1,0,0,1,72.08379002450883,44.8355421562,-0.5691342237
0,1,0,0,0,0,1,0,0,0,1,4,2,30,500,30,1,0,0,0,2,1,100.53663103916965,44.8448218822,-0.580409601
1,1,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,1,0,0,1,54.86609317897307,44.8213317287,-0.563784246
0,1,0,0,0,0,0,0,0,0,1,4,2,25,400,25,0,0,1,0,2,1,90.33653848655902,44.8396389587,-0.5863953418
0,0,0,0,0,0,1,0,0,0,0,4,2,30,300,30,0,0,1,0,0,0,84.43302352212709,44.8289554861,-0.5585993458
1,1,0,0,0,0,1,0,0,0,1,8,4,80,500,80,1,1,1,0,4,1,177.19406150641078,44.8505957206,-0.6072336332
0,1,0,0,0,0,0,0,0,0,1,3,1,5,250,5,0,0,0,0,2,0,54.88852925850687,44.8534891432,-0.5748063292
0,1,0,0,0,0,1,0,0,0,0,2,1,10,0,10,0,0,0,0,1,1,47.160009688492785,44.8534714658,-0.5964545231
0,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,41.488598081753544,44.8665958786,-0.547773715
0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,41.89933036738701,44.8500704845,-0.585416902
0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,1,78.28440629312514,44.8364867972,-0.5709541854
0,1,1,0,0,1,0,1,0,0,1,2,0,30,450,30,1,0,0,0,0,1,62.46599071097063,44.8378579123,-0.5684471168
